dataset,seed_a,seed_b,layer_i,layer_j,same_depth,metric,value
mnist,42,456,3,2,False,svcca,0.6610845031900444
mnist,42,456,3,2,False,pwcca,0.9382082818516636
mnist,42,456,3,3,True,cka,0.9513400793075562
mnist,42,456,3,3,True,cosine,0.4854075610637665
mnist,42,456,3,3,True,svcca,0.6857352032866426
mnist,42,456,3,3,True,pwcca,0.907089372858263
mnist,42,456,3,4,False,cka,0.9493086934089661
mnist,42,456,3,4,False,cosine,0.49769511818885803
mnist,42,456,3,4,False,svcca,0.6796976712368185
mnist,42,456,3,4,False,pwcca,0.9062540112153923
mnist,42,456,4,1,False,cka,0.8730355501174927
mnist,42,456,4,1,False,cosine,0.4125622808933258
mnist,42,456,4,1,False,svcca,0.6295856049603258
mnist,42,456,4,1,False,pwcca,0.9322293870604855
mnist,42,456,4,2,False,cka,0.9276543259620667
mnist,42,456,4,2,False,cosine,0.4789172112941742
mnist,42,456,4,2,False,svcca,0.6573499774230462
mnist,42,456,4,2,False,pwcca,0.9426216926966696
mnist,42,456,4,3,False,cka,0.9399408102035522
mnist,42,456,4,3,False,cosine,0.4729763865470886
mnist,42,456,4,3,False,svcca,0.6733922238712459
mnist,42,456,4,3,False,pwcca,0.94889566057847
mnist,42,456,4,4,True,cka,0.9535800814628601
mnist,42,456,4,4,True,cosine,0.3913230001926422
mnist,42,456,4,4,True,svcca,0.6888337965608482
mnist,42,456,4,4,True,pwcca,0.9528412647478867
mnist,123,456,1,1,True,cka,0.9600165486335754
mnist,123,456,1,1,True,cosine,0.41994956135749817
mnist,123,456,1,1,True,svcca,0.6837248554721753
mnist,123,456,1,1,True,pwcca,0.8901254934928049
mnist,123,456,1,2,False,cka,0.9313291907310486
mnist,123,456,1,2,False,cosine,0.45161429047584534
mnist,123,456,1,2,False,svcca,0.6553747040849478
mnist,123,456,1,2,False,pwcca,0.8761087123967211
mnist,123,456,1,3,False,cka,0.9071712493896484
mnist,123,456,1,3,False,cosine,0.46827003359794617
mnist,123,456,1,3,False,svcca,0.641032657773172
mnist,123,456,1,3,False,pwcca,0.8695692163280981
mnist,123,456,1,4,False,cka,0.8804506063461304
mnist,123,456,1,4,False,cosine,0.43796688318252563
mnist,123,456,1,4,False,svcca,0.6208531179396043
mnist,123,456,1,4,False,pwcca,0.8574965932027756
mnist,123,456,2,1,False,cka,0.9336762428283691
mnist,123,456,2,1,False,cosine,0.4586394131183624
mnist,123,456,2,1,False,svcca,0.6623300427922914
mnist,123,456,2,1,False,pwcca,0.8510047389076005
mnist,123,456,2,2,True,cka,0.9608768820762634
mnist,123,456,2,2,True,cosine,0.4899679124355316
mnist,123,456,2,2,True,svcca,0.681212717330718
mnist,123,456,2,2,True,pwcca,0.8967840582035264
mnist,123,456,2,3,False,cka,0.954576313495636
mnist,123,456,2,3,False,cosine,0.48140236735343933
mnist,123,456,2,3,False,svcca,0.6861345028813504
mnist,123,456,2,3,False,pwcca,0.9030427898254161
mnist,123,456,2,4,False,cka,0.94256991147995
mnist,123,456,2,4,False,cosine,0.4583888649940491
