dataset,seed,best_val_acc,test_loss,test_acc,train_time_sec
mnist,42,0.9122222222222223,0.24374284595251083,0.925,1.7098240852355957
mnist,123,0.9238888888888889,0.22496815398335457,0.9245,1.8642418384552002
mnist,456,0.915,0.24057399854063988,0.9315,1.7987060546875
fashion_mnist,42,0.8338888888888889,0.5008385479450226,0.812,2.2079782485961914
fashion_mnist,123,0.8311111111111111,0.477068766951561,0.831,2.366882085800171
fashion_mnist,456,0.8344444444444444,0.48376988619565964,0.8255,2.188854694366455
cifar10,42,0.4048888888888889,1.6770588755607605,0.3945,4.055707693099976
cifar10,123,0.39244444444444443,1.6781581342220306,0.3965,4.2711286544799805
cifar10,456,0.4093333333333333,1.6735075414180756,0.39,4.251699924468994
