dataset,seed,layer_i,layer_j,layer_distance,metric,value
cifar10,456,1,4,3,pwcca,0.8887509418013139
cifar10,456,2,1,1,cka,0.9567802548408508
cifar10,456,2,1,1,cosine,0.24682439863681793
cifar10,456,2,1,1,svcca,0.827300394738418
cifar10,456,2,1,1,pwcca,0.9333699549719828
cifar10,456,2,2,0,cka,1.0000001192092896
cifar10,456,2,2,0,cosine,1.0
cifar10,456,2,2,0,svcca,0.99999998023395
cifar10,456,2,2,0,pwcca,0.9999999957668392
cifar10,456,2,3,1,cka,0.9489392638206482
cifar10,456,2,3,1,cosine,0.3636227548122406
cifar10,456,2,3,1,svcca,0.7131738323703256
cifar10,456,2,3,1,pwcca,0.9169608487774863
cifar10,456,2,4,2,cka,0.8612035512924194
cifar10,456,2,4,2,cosine,0.3519444167613983
cifar10,456,2,4,2,svcca,0.6654887901890657
cifar10,456,2,4,2,pwcca,0.8827979025272866
cifar10,456,3,1,2,cka,0.8687570691108704
cifar10,456,3,1,2,cosine,0.26345115900039673
cifar10,456,3,1,2,svcca,0.7653111087492759
cifar10,456,3,1,2,pwcca,0.8979387369050167
cifar10,456,3,2,1,cka,0.9489392638206482
cifar10,456,3,2,1,cosine,0.3636227548122406
cifar10,456,3,2,1,svcca,0.7131738323703255
cifar10,456,3,2,1,pwcca,0.9320293803728417
cifar10,456,3,3,0,cka,1.0000003576278687
cifar10,456,3,3,0,cosine,1.0
cifar10,456,3,3,0,svcca,0.9999986019602356
cifar10,456,3,3,0,pwcca,0.9999999941595119
cifar10,456,3,4,1,cka,0.9591322541236877
cifar10,456,3,4,1,cosine,0.3770083487033844
cifar10,456,3,4,1,svcca,0.725069107359824
cifar10,456,3,4,1,pwcca,0.9314491819807013
cifar10,456,4,1,3,cka,0.7619754076004028
cifar10,456,4,1,3,cosine,0.2565053403377533
cifar10,456,4,1,3,svcca,0.708708928706969
cifar10,456,4,1,3,pwcca,0.8572909733184807
cifar10,456,4,2,2,cka,0.8612035512924194
cifar10,456,4,2,2,cosine,0.3519444167613983
cifar10,456,4,2,2,svcca,0.665488790189066
cifar10,456,4,2,2,pwcca,0.9258701508890974
cifar10,456,4,3,1,cka,0.9591322541236877
cifar10,456,4,3,1,cosine,0.3770083487033844
cifar10,456,4,3,1,svcca,0.7250691073598238
cifar10,456,4,3,1,pwcca,0.9466404494914256
cifar10,456,4,4,0,cka,0.9999997615814209
cifar10,456,4,4,0,cosine,1.0
cifar10,456,4,4,0,svcca,0.9999989751556029
cifar10,456,4,4,0,pwcca,0.9999999909943933
