dataset,seed,layer_i,layer_j,layer_distance,metric,value
mnist,123,4,1,3,cka,0.8768035173416138
mnist,123,4,1,3,cosine,0.46538254618644714
mnist,123,4,1,3,svcca,0.6280503149425539
mnist,123,4,1,3,pwcca,0.9346103555866483
mnist,123,4,2,2,cka,0.9638696312904358
mnist,123,4,2,2,cosine,0.46390801668167114
mnist,123,4,2,2,svcca,0.6926766360158654
mnist,123,4,2,2,pwcca,0.9531891180051553
mnist,123,4,3,1,cka,0.989125669002533
mnist,123,4,3,1,cosine,0.45692360401153564
mnist,123,4,3,1,svcca,0.7241265821300445
mnist,123,4,3,1,pwcca,0.9635186015099503
mnist,123,4,4,0,cka,1.0000001192092896
mnist,123,4,4,0,cosine,1.0
mnist,123,4,4,0,svcca,0.9999998004518047
mnist,123,4,4,0,pwcca,0.9999999843257715
mnist,456,1,1,0,cka,1.0000003576278687
mnist,456,1,1,0,cosine,1.0
mnist,456,1,1,0,svcca,0.9999999924901559
mnist,456,1,1,0,pwcca,0.9999999978715609
mnist,456,1,2,1,cka,0.9556487202644348
mnist,456,1,2,1,cosine,0.44185328483581543
mnist,456,1,2,1,svcca,0.7257694101777277
mnist,456,1,2,1,pwcca,0.9203832137080094
mnist,456,1,3,2,cka,0.9270819425582886
mnist,456,1,3,2,cosine,0.47618693113327026
mnist,456,1,3,2,svcca,0.6692083259412064
mnist,456,1,3,2,pwcca,0.8918033451368845
mnist,456,1,4,3,cka,0.8867618441581726
mnist,456,1,4,3,cosine,0.4383026957511902
mnist,456,1,4,3,svcca,0.6306785584994736
mnist,456,1,4,3,pwcca,0.8639045173978562
mnist,456,2,1,1,cka,0.9556487202644348
mnist,456,2,1,1,cosine,0.44185328483581543
mnist,456,2,1,1,svcca,0.725769410177728
mnist,456,2,1,1,pwcca,0.9389230985638878
mnist,456,2,2,0,cka,1.000000238418579
mnist,456,2,2,0,cosine,1.0
mnist,456,2,2,0,svcca,0.9999999692866108
mnist,456,2,2,0,pwcca,0.9999999949448175
mnist,456,2,3,1,cka,0.9918569922447205
mnist,456,2,3,1,cosine,0.5183677673339844
mnist,456,2,3,1,svcca,0.7330074516238388
mnist,456,2,3,1,pwcca,0.9428601965682613
mnist,456,2,4,2,cka,0.9649820923805237
mnist,456,2,4,2,cosine,0.48792707920074463
mnist,456,2,4,2,svcca,0.6757623180030163
mnist,456,2,4,2,pwcca,0.9149951391694113
mnist,456,3,1,2,cka,0.9270819425582886
mnist,456,3,1,2,cosine,0.47618693113327026
mnist,456,3,1,2,svcca,0.6692083259412059
mnist,456,3,1,2,pwcca,0.9387121714541172
mnist,456,3,2,1,cka,0.9918569922447205
mnist,456,3,2,1,cosine,0.5183677673339844
mnist,456,3,2,1,svcca,0.7330074516238388
mnist,456,3,2,1,pwcca,0.9579361996228541
mnist,456,3,3,0,cka,1.0000005960464478
mnist,456,3,3,0,cosine,1.0
mnist,456,3,3,0,svcca,0.999999920080724
mnist,456,3,3,0,pwcca,0.9999999911247144
mnist,456,3,4,1,cka,0.9832502007484436
mnist,456,3,4,1,cosine,0.44478660821914673
mnist,456,3,4,1,svcca,0.722230238662881
mnist,456,3,4,1,pwcca,0.9579355916324455
mnist,456,4,1,3,cka,0.8867618441581726
mnist,456,4,1,3,cosine,0.4383026957511902
mnist,456,4,1,3,svcca,0.6306785584994736
mnist,456,4,1,3,pwcca,0.9350968749291563
mnist,456,4,2,2,cka,0.9649820923805237
mnist,456,4,2,2,cosine,0.48792707920074463
mnist,456,4,2,2,svcca,0.6757623180030172
mnist,456,4,2,2,pwcca,0.9511183980445655
mnist,456,4,3,1,cka,0.9832502007484436
mnist,456,4,3,1,cosine,0.44478660821914673
mnist,456,4,3,1,svcca,0.722230238662886
mnist,456,4,3,1,pwcca,0.947694456002608
mnist,456,4,4,0,cka,1.0
mnist,456,4,4,0,cosine,1.0
mnist,456,4,4,0,svcca,0.9999998599712256
mnist,456,4,4,0,pwcca,0.9999999882858447
fashion_mnist,42,1,1,0,cka,1.0000003576278687
fashion_mnist,42,1,1,0,cosine,1.0
fashion_mnist,42,1,1,0,svcca,0.9999999789127691
fashion_mnist,42,1,1,0,pwcca,0.9999999958991964
fashion_mnist,42,1,2,1,cka,0.9619913697242737
fashion_mnist,42,1,2,1,cosine,0.41472312808036804
fashion_mnist,42,1,2,1,svcca,0.7276590645968695
fashion_mnist,42,1,2,1,pwcca,0.9377918966441647
fashion_mnist,42,1,3,2,cka,0.9211422801017761
fashion_mnist,42,1,3,2,cosine,0.41789567470550537
fashion_mnist,42,1,3,2,svcca,0.6862613957949093
fashion_mnist,42,1,3,2,pwcca,0.9210877445468783
fashion_mnist,42,1,4,3,cka,0.8761833310127258
fashion_mnist,42,1,4,3,cosine,0.41064414381980896
fashion_mnist,42,1,4,3,svcca,0.6549325422049344
fashion_mnist,42,1,4,3,pwcca,0.9078261978455094
fashion_mnist,42,2,1,1,cka,0.9619913697242737
fashion_mnist,42,2,1,1,cosine,0.41472312808036804
fashion_mnist,42,2,1,1,svcca,0.7276590645968667
fashion_mnist,42,2,1,1,pwcca,0.9321138131699241
fashion_mnist,42,2,2,0,cka,1.0000003576278687
fashion_mnist,42,2,2,0,cosine,1.0
fashion_mnist,42,2,2,0,svcca,0.9999999166242013
fashion_mnist,42,2,2,0,pwcca,0.9999999909033747
fashion_mnist,42,2,3,1,cka,0.9740537405014038
fashion_mnist,42,2,3,1,cosine,0.4408590793609619
fashion_mnist,42,2,3,1,svcca,0.7532454454690809
fashion_mnist,42,2,3,1,pwcca,0.9647262002189746
fashion_mnist,42,2,4,2,cka,0.930202841758728
fashion_mnist,42,2,4,2,cosine,0.3834807276725769
fashion_mnist,42,2,4,2,svcca,0.7035037955094439
fashion_mnist,42,2,4,2,pwcca,0.9530505477943104
fashion_mnist,42,3,1,2,cka,0.9211422801017761
fashion_mnist,42,3,1,2,cosine,0.41789567470550537
fashion_mnist,42,3,1,2,svcca,0.6862613957949142
fashion_mnist,42,3,1,2,pwcca,0.89858378175041
fashion_mnist,42,3,2,1,cka,0.9740537405014038
fashion_mnist,42,3,2,1,cosine,0.4408590793609619
fashion_mnist,42,3,2,1,svcca,0.7532454454690868
fashion_mnist,42,3,2,1,pwcca,0.9544546082553973
fashion_mnist,42,3,3,0,cka,1.0000001192092896
fashion_mnist,42,3,3,0,cosine,1.0
fashion_mnist,42,3,3,0,svcca,0.9999997188514873
fashion_mnist,42,3,3,0,pwcca,0.9999999850915008
fashion_mnist,42,3,4,1,cka,0.9725955128669739
fashion_mnist,42,3,4,1,cosine,0.3581242263317108
fashion_mnist,42,3,4,1,svcca,0.7537508542746816
fashion_mnist,42,3,4,1,pwcca,0.9686568171188078
fashion_mnist,42,4,1,3,cka,0.8761833310127258
fashion_mnist,42,4,1,3,cosine,0.41064414381980896
fashion_mnist,42,4,1,3,svcca,0.6549325422049265
fashion_mnist,42,4,1,3,pwcca,0.8848945979587325
fashion_mnist,42,4,2,2,cka,0.930202841758728
fashion_mnist,42,4,2,2,cosine,0.3834807276725769
fashion_mnist,42,4,2,2,svcca,0.703503795509451
fashion_mnist,42,4,2,2,pwcca,0.9390765007270809
fashion_mnist,42,4,3,1,cka,0.9725955128669739
fashion_mnist,42,4,3,1,cosine,0.3581242263317108
fashion_mnist,42,4,3,1,svcca,0.7537508542746568
fashion_mnist,42,4,3,1,pwcca,0.981369324214644
fashion_mnist,42,4,4,0,cka,0.9999997615814209
fashion_mnist,42,4,4,0,cosine,1.0
fashion_mnist,42,4,4,0,svcca,0.9999990990054434
fashion_mnist,42,4,4,0,pwcca,0.9999999698579032
fashion_mnist,123,1,1,0,cka,1.0000001192092896
fashion_mnist,123,1,1,0,cosine,1.0
fashion_mnist,123,1,1,0,svcca,0.9999999714303209
fashion_mnist,123,1,1,0,pwcca,0.9999999944111863
fashion_mnist,123,1,2,1,cka,0.9709627032279968
fashion_mnist,123,1,2,1,cosine,0.4302913248538971
fashion_mnist,123,1,2,1,svcca,0.7335437694717795
fashion_mnist,123,1,2,1,pwcca,0.9378010576643994
fashion_mnist,123,1,3,2,cka,0.9260308146476746
fashion_mnist,123,1,3,2,cosine,0.42568954825401306
fashion_mnist,123,1,3,2,svcca,0.6718757566408026
fashion_mnist,123,1,3,2,pwcca,0.9144585064842707
fashion_mnist,123,1,4,3,cka,0.895661473274231
fashion_mnist,123,1,4,3,cosine,0.37010443210601807
fashion_mnist,123,1,4,3,svcca,0.6425469650992943
fashion_mnist,123,1,4,3,pwcca,0.9071917571194376
fashion_mnist,123,2,1,1,cka,0.9709627032279968
fashion_mnist,123,2,1,1,cosine,0.4302913248538971
fashion_mnist,123,2,1,1,svcca,0.7335437694717808
fashion_mnist,123,2,1,1,pwcca,0.9271488619001902
fashion_mnist,123,2,2,0,cka,1.0000001192092896
fashion_mnist,123,2,2,0,cosine,1.0
fashion_mnist,123,2,2,0,svcca,0.9998769532957086
fashion_mnist,123,2,2,0,pwcca,0.9999999867731681
fashion_mnist,123,2,3,1,cka,0.9778416156768799
fashion_mnist,123,2,3,1,cosine,0.457846999168396
fashion_mnist,123,2,3,1,svcca,0.740120338326653
fashion_mnist,123,2,3,1,pwcca,0.9577254124676733
fashion_mnist,123,2,4,2,cka,0.9347349405288696
fashion_mnist,123,2,4,2,cosine,0.3913341462612152
fashion_mnist,123,2,4,2,svcca,0.7161255462286318
fashion_mnist,123,2,4,2,pwcca,0.9486818547789049
fashion_mnist,123,3,1,2,cka,0.9260308146476746
fashion_mnist,123,3,1,2,cosine,0.42568954825401306
fashion_mnist,123,3,1,2,svcca,0.6718757566408068
fashion_mnist,123,3,1,2,pwcca,0.8985981024780385
fashion_mnist,123,3,2,1,cka,0.9778416156768799
fashion_mnist,123,3,2,1,cosine,0.457846999168396
fashion_mnist,123,3,2,1,svcca,0.7401203383266439
fashion_mnist,123,3,2,1,pwcca,0.9712794653219611
fashion_mnist,123,3,3,0,cka,1.0000004768371582
fashion_mnist,123,3,3,0,cosine,1.0
fashion_mnist,123,3,3,0,svcca,0.999999764592678
fashion_mnist,123,3,3,0,pwcca,0.9999999834838473
fashion_mnist,123,3,4,1,cka,0.966331958770752
fashion_mnist,123,3,4,1,cosine,0.3943929374217987
fashion_mnist,123,3,4,1,svcca,0.7684511355878699
fashion_mnist,123,3,4,1,pwcca,0.9704635502288801
fashion_mnist,123,4,1,3,cka,0.895661473274231
fashion_mnist,123,4,1,3,cosine,0.37010443210601807
fashion_mnist,123,4,1,3,svcca,0.6425469650993064
fashion_mnist,123,4,1,3,pwcca,0.9602312088919547
fashion_mnist,123,4,2,2,cka,0.9347349405288696
fashion_mnist,123,4,2,2,cosine,0.3913341462612152
fashion_mnist,123,4,2,2,svcca,0.7161255462286302
fashion_mnist,123,4,2,2,pwcca,0.9738642010453838
fashion_mnist,123,4,3,1,cka,0.966331958770752
fashion_mnist,123,4,3,1,cosine,0.3943929374217987
fashion_mnist,123,4,3,1,svcca,0.7684511355878595
fashion_mnist,123,4,3,1,pwcca,0.9816286528565336
fashion_mnist,123,4,4,0,cka,1.0
fashion_mnist,123,4,4,0,cosine,1.0
fashion_mnist,123,4,4,0,svcca,0.9999988343122046
fashion_mnist,123,4,4,0,pwcca,0.9999999714554875
fashion_mnist,456,1,1,0,cka,1.0000001192092896
fashion_mnist,456,1,1,0,cosine,1.0
fashion_mnist,456,1,1,0,svcca,0.9999999778377867
fashion_mnist,456,1,1,0,pwcca,0.9999999955686865
fashion_mnist,456,1,2,1,cka,0.9677980542182922
fashion_mnist,456,1,2,1,cosine,0.3900231420993805
fashion_mnist,456,1,2,1,svcca,0.7807562945058955
fashion_mnist,456,1,2,1,pwcca,0.94978081037875
fashion_mnist,456,1,3,2,cka,0.9117138385772705
fashion_mnist,456,1,3,2,cosine,0.41538673639297485
fashion_mnist,456,1,3,2,svcca,0.7052990737331707
fashion_mnist,456,1,3,2,pwcca,0.9242379673732575
fashion_mnist,456,1,4,3,cka,0.8219661712646484
fashion_mnist,456,1,4,3,cosine,0.381885826587677
fashion_mnist,456,1,4,3,svcca,0.6699475692086561
fashion_mnist,456,1,4,3,pwcca,0.9089423364402105
fashion_mnist,456,2,1,1,cka,0.9677980542182922
fashion_mnist,456,2,1,1,cosine,0.3900231420993805
fashion_mnist,456,2,1,1,svcca,0.7807562945058996
fashion_mnist,456,2,1,1,pwcca,0.9419131968216158
fashion_mnist,456,2,2,0,cka,0.9999998807907104
fashion_mnist,456,2,2,0,cosine,1.0
fashion_mnist,456,2,2,0,svcca,0.999999908472003
fashion_mnist,456,2,2,0,pwcca,0.9999999908016355
fashion_mnist,456,2,3,1,cka,0.9791077971458435
fashion_mnist,456,2,3,1,cosine,0.453721821308136
fashion_mnist,456,2,3,1,svcca,0.7407431673889153
fashion_mnist,456,2,3,1,pwcca,0.9597120559823998
fashion_mnist,456,2,4,2,cka,0.9078611731529236
